Config: classical_fire_aware_sampler_smoke
Model: classical_unet | Mode: 5 (swir_aerosol)
Output: experiments/classical_fire_aware_sampler_smoke_0419_1521
Train sampler: fire-aware sampling enabled | Fire patches: 153 | Non-fire patches: 1305 | Target fire fraction: 0.35
Train: 729 batches | Val: 504 | Test: 11

--- Epoch 1/1 ---
  Iter 10/729 | Loss: 0.6659 | OA: 0.5154 | mIoU: 0.2577 | Time: 0.03s
  Iter 20/729 | Loss: 0.8489 | OA: 0.6145 | mIoU: 0.3233 | Time: 0.03s
  Iter 30/729 | Loss: 0.5893 | OA: 0.7958 | mIoU: 0.3979 | Time: 0.03s
  Iter 40/729 | Loss: 0.5691 | OA: 0.7048 | mIoU: 0.3524 | Time: 0.03s
  Iter 50/729 | Loss: 0.4781 | OA: 0.8700 | mIoU: 0.4393 | Time: 0.03s
  Iter 60/729 | Loss: 0.5266 | OA: 0.7601 | mIoU: 0.3800 | Time: 0.08s
  Iter 70/729 | Loss: 0.5200 | OA: 0.7658 | mIoU: 0.3829 | Time: 0.03s
  Iter 80/729 | Loss: 0.4829 | OA: 0.9532 | mIoU: 0.4766 | Time: 0.03s
  Iter 90/729 | Loss: 0.5005 | OA: 0.6723 | mIoU: 0.3361 | Time: 0.03s
  Iter 100/729 | Loss: 0.5433 | OA: 0.8643 | mIoU: 0.4321 | Time: 0.03s
  Iter 110/729 | Loss: 0.4758 | OA: 0.9285 | mIoU: 0.4643 | Time: 0.03s
  Iter 120/729 | Loss: 0.4811 | OA: 0.9217 | mIoU: 0.4609 | Time: 0.03s
  Iter 130/729 | Loss: 0.3757 | OA: 0.9637 | mIoU: 0.4819 | Time: 0.03s
  Iter 140/729 | Loss: 0.5252 | OA: 0.9414 | mIoU: 0.4707 | Time: 0.09s
  Iter 150/729 | Loss: 0.7481 | OA: 0.9556 | mIoU: 0.4778 | Time: 0.03s
  Iter 160/729 | Loss: 0.4531 | OA: 0.8997 | mIoU: 0.4499 | Time: 0.03s
  Iter 170/729 | Loss: 1.1851 | OA: 0.7096 | mIoU: 0.3548 | Time: 0.09s
  Iter 180/729 | Loss: 0.4138 | OA: 0.8930 | mIoU: 0.4465 | Time: 0.03s
  Iter 190/729 | Loss: 0.7603 | OA: 0.8551 | mIoU: 0.4672 | Time: 0.03s
  Iter 200/729 | Loss: 0.3271 | OA: 0.9760 | mIoU: 0.4880 | Time: 0.04s
  Iter 210/729 | Loss: 0.3513 | OA: 0.9871 | mIoU: 0.4936 | Time: 0.03s
  Iter 220/729 | Loss: 0.7280 | OA: 0.9403 | mIoU: 0.4868 | Time: 0.03s
  Iter 230/729 | Loss: 0.3187 | OA: 0.9612 | mIoU: 0.4806 | Time: 0.03s
